"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"缺密码 → code=1003","1","test_register_missing_password","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestRegister","test_user","",""
"A 发消息 → A 收到自己回显，B 也收到转发","88","test_send_echo_and_broadcast","chatroom_test","Mon Sep 14 15:35:31 CST 2026","passed","Mon Sep 14 15:35:31 CST 2026","TestWebSocketSend","test_websocket","",""
"已登录 → code=0，返回当前用户名","4","test_userinfo_logged_in","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestUserInfo","test_user","",""
"未登录 → code=401","20","test_not_login","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestGetMessage","test_message","",""
"给不存在的用户发 → code=1003（缺陷 BUG-002 修复后行为）","5","test_send_to_nonexistent_user","chatroom_test","Mon Sep 14 15:35:29 CST 2026","passed","Mon Sep 14 15:35:29 CST 2026","TestSendFriendRequest","test_friend","",""
"缺 requestId → code=1003","3","test_accept_missing_request_id","chatroom_test","Mon Sep 14 15:35:29 CST 2026","passed","Mon Sep 14 15:35:29 CST 2026","TestAcceptAndReject","test_friend","",""
"B 搜索 A 的用户名 → code=0，结果包含 A","12","test_search_success","chatroom_test","Mon Sep 14 15:35:29 CST 2026","passed","Mon Sep 14 15:35:29 CST 2026","TestSearchUser","test_friend","",""
"缺密码 → code=1003","14","test_login_missing_password","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestLogin","test_user","",""
"requestMsg 超 200 字符 → code=1003","84","test_send_request_msg_over_200","chatroom_test","Mon Sep 14 15:35:29 CST 2026","passed","Mon Sep 14 15:35:29 CST 2026","TestSendFriendRequest","test_friend","",""
"未登录 → code=401","5","test_accept_not_login","chatroom_test","Mon Sep 14 15:35:29 CST 2026","passed","Mon Sep 14 15:35:29 CST 2026","TestAcceptAndReject","test_friend","",""
"重复建会话 → code=0，返回同一个 sessionId（幂等，不产生新会话）","31","test_create_returns_existing_session","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestCreateSession","test_session","",""
"未登录 → code=401","21","test_pending_not_login","chatroom_test","Mon Sep 14 15:35:29 CST 2026","passed","Mon Sep 14 15:35:29 CST 2026","TestPendingRequests","test_friend","",""
"username 超 20 字符 → code=1003（BUG-001 修复后行为）","4","test_register_username_over_20","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestRegister","test_user","",""
"password 超 20 字符 → code=1003","6","test_register_password_over_20","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestRegister","test_user","",""
"密码错误 → code=1002","14","test_login_wrong_password","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestLogin","test_user","",""
"缺 toUserId → code=1003","5","test_create_missing_to_user_id","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestCreateSession","test_session","",""
"发无效 sessionId → 只收到 error 提示，会话内好友收不到（BUG-004 回归）","3103","test_invalid_session_id","chatroom_test","Mon Sep 14 15:35:32 CST 2026","passed","Mon Sep 14 15:35:35 CST 2026","TestWebSocketSend","test_websocket","",""
"正常注册：唯一用户名+合法密码 → code=0，密码返回脱敏","23","test_register_success","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestRegister","test_user","",""
"缺 toUserId 参数 → code=1003（用 _post 绕过封装模拟缺参）","4","test_send_missing_to_user_id","chatroom_test","Mon Sep 14 15:35:29 CST 2026","passed","Mon Sep 14 15:35:29 CST 2026","TestSendFriendRequest","test_friend","",""
"未登录 → code=401","7","test_session_list_not_login","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestSessionList","test_session","",""
"空关键词 → code=1003","1","test_search_empty_keyword","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestSearchUser","test_friend","",""
"缺用户名 → code=1003","4","test_login_missing_username","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestLogin","test_user","",""
"缺 sessionId → code=1003","4","test_missing_session_id","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestGetMessage","test_message","",""
"未登录 → code=401","10","test_search_not_login","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestSearchUser","test_friend","",""
"缺用户名 → code=1003","7","test_register_missing_username","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestRegister","test_user","",""
"新用户无会话 → code=0，列表为空","6","test_session_list_empty","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestSessionList","test_session","",""
"给不存在的用户建会话 → code=1003","6","test_create_with_nonexistent_user","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestCreateSession","test_session","",""
"WS 发消息后，HTTP /message 能查到历史（落库验证）","513","test_send_saved_to_history","chatroom_test","Mon Sep 14 15:35:31 CST 2026","passed","Mon Sep 14 15:35:31 CST 2026","TestWebSocketSend","test_websocket","",""
"新用户无好友 → code=0，列表为空","24","test_friend_list_empty","chatroom_test","Mon Sep 14 15:35:29 CST 2026","passed","Mon Sep 14 15:35:29 CST 2026","TestFriendList","test_friend","",""
"未登录 → code=401","4","test_create_not_login","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestCreateSession","test_session","",""
"给自己建会话 → code=1003","6","test_create_with_self","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestCreateSession","test_session","",""
"会话外用户查别人会话 → code=1003 无权查看（越权场景）","17","test_no_permission_for_third_user","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestGetMessage","test_message","",""
"新会话无消息 → code=0，列表为空","36","test_history_empty","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestGetMessage","test_message","",""
"未登录连接（不带 Cookie）发消息 → 无任何回显（后端静默丢弃）","3014","test_not_login_send_no_response","chatroom_test","Mon Sep 14 15:35:35 CST 2026","passed","Mon Sep 14 15:35:38 CST 2026","TestWebSocketSend","test_websocket","",""
"给自己发 → code=1003","6","test_send_to_self","chatroom_test","Mon Sep 14 15:35:29 CST 2026","passed","Mon Sep 14 15:35:29 CST 2026","TestSendFriendRequest","test_friend","",""
"非好友建会话 → code=1003（非好友不能创建会话）","8","test_create_with_non_friend","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestCreateSession","test_session","",""
"B 拒绝 → code=0，待处理列表清空，双方不成为好友","36","test_reject_success","chatroom_test","Mon Sep 14 15:35:29 CST 2026","passed","Mon Sep 14 15:35:29 CST 2026","TestAcceptAndReject","test_friend","",""
"B 接受 → code=0，双方好友列表互含对方","47","test_accept_success","chatroom_test","Mon Sep 14 15:35:29 CST 2026","passed","Mon Sep 14 15:35:29 CST 2026","TestAcceptAndReject","test_friend","",""
